ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
47588;"Thomas Edward ""Tom"" Henderson";M;200;1880;860;United States;USA;1972 Summer;1972;Summer;Munich;Basketball;Basketball Men's Basketball;Silver
48571;Grant Henry Hill;M;230;2030;1020;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
48958;"Charles Monroe ""Charlie"" Hoag";M;200;1880;840;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
50132;"Wilmer Frederick ""Bill"" Hosket";M;210;2030;1020;United States;USA;1968 Summer;1968;Summer;Mexico City;Basketball;Basketball Men's Basketball;Gold
50231;"William Marion ""Bill"" Hougland";M;220;1950;860;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
50231;"William Marion ""Bill"" Hougland";M;260;1950;860;United States;USA;1956 Summer;1956;Summer;Melbourne;Basketball;Basketball Men's Basketball;Gold
50268;Allan Wade Houston;M;290;1950;910;United States;USA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Men's Basketball;Gold
50311;Dwight David Howard;M;220;2110;1200;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
50688;"Phillip Gregory ""Phil"" Hubbard";M;190;2000;880;United States;USA;1976 Summer;1976;Summer;Montreal;Basketball;Basketball Men's Basketball;Gold
51724;Andre Tyler Iguodala;M;280;1980;940;United States;USA;2012 Summer;2012;Summer;London;Basketball;Basketball Men's Basketball;Gold
52026;Darrall Tucker Imhoff;M;210;2110;980;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
52383;Kyrie Andrew Irving;M;240;1900;870;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Basketball;Basketball Men's Basketball;Gold
52912;Allen Ezail Iverson;M;290;1820;830;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
53134;"Lucious Brown ""Luke"" Jackson, Jr.";M;220;2060;1070;United States;USA;1964 Summer;1964;Summer;Tokyo;Basketball;Basketball Men's Basketball;Gold
53494;LeBron Raymone James;M;190;2030;1140;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
53494;LeBron Raymone James;M;230;2030;1140;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
53494;LeBron Raymone James;M;270;2030;1140;United States;USA;2012 Summer;2012;Summer;London;Basketball;Basketball Men's Basketball;Gold
54117;"Robert Eugene ""Bob"" Jeangerard";M;240;1900;860;United States;USA;1956 Summer;1956;Summer;Melbourne;Basketball;Basketball Men's Basketball;Gold
54163;Richard Allen Jefferson;M;240;2030;1020;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
55375;Francis Lee Johnson;M;250;1800;790;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
55424;"Earvin ""Magic"" Johnson, Jr.";M;320;2050;1000;United States;USA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Men's Basketball;Gold
